case,min,max,case_duration_minutes,loan_success,LoanGoal,LoanOutcome
Application_1003879772,2016-02-17 22:48:15.655,2016-05-03 13:26:36.541,108878.3481,1,Extra spending limit,Success
Application_1003896153,2016-09-27 12:13:58.353,2016-10-05 17:57:45.537,11863.7864,0,Car,Fail
Application_1003963311,2016-09-16 12:43:49.507,2016-09-29 09:39:52.901,18536.05656666667,1,Unknown,Success
Application_1004293292,2016-01-07 21:53:14.423,2016-01-18 15:39:28.332,15466.231816666666,1,Car,Success
Application_1004303396,2016-01-04 13:38:39.579,2016-01-29 13:51:12.804,36012.55375,1,Home improvement,Success
Application_1004317586,2016-09-14 19:19:15.957,2016-09-23 11:41:39.247,12502.388166666668,0,Car,Fail
Application_100433898,2016-08-11 13:36:02.234,2016-08-18 11:06:38.165,9930.59885,1,Car,Success
Application_1004385970,2016-10-24 09:00:48.303,2016-11-03 12:00:51.755,14580.057533333335,1,Car,Success
Application_1004515382,2016-10-17 17:38:04.799,2016-10-23 23:03:22.042,8965.287383333334,1,Car,Success
Application_1004573204,2016-08-26 18:03:02.658,2016-09-26 08:00:31.717,44037.48431666666,0,Car,Fail
Application_1004581995,2016-09-17 17:04:19.304,2016-10-20 08:00:36.115,46976.280183333336,0,Car,Fail
Application_1004601801,2016-11-07 17:45:30.715,2016-11-17 09:22:49.755,13897.317333333334,1,Car,Success
Application_1004618053,2016-07-21 09:34:05.992,2016-08-17 12:24:08.810,39050.04696666667,1,Home improvement,Success
Application_1004667877,2016-04-19 09:40:49.280,2016-05-19 15:46:01.432,43565.20253333333,1,"Other, see explanation",Success
Application_1004702768,2016-10-13 17:37:50.965,2016-10-21 08:16:48.149,10958.953066666667,1,Home improvement,Success
Application_1004718670,2016-09-12 09:15:38.032,2016-10-04 14:04:49.307,31969.187916666666,1,"Other, see explanation",Success
Application_1004752022,2016-08-14 16:30:08.095,2016-09-15 08:00:28.376,45570.33801666667,0,Car,Fail
Application_1004788187,2016-03-31 14:01:20.438,2016-05-05 08:00:25.964,50039.0921,0,Car,Fail
Application_1004817800,2016-08-24 09:16:20.780,2016-09-24 08:16:47.835,44580.45091666667,0,Home improvement,Fail
Application_1004853526,2016-11-23 13:48:23.719,2016-11-29 11:35:04.142,8506.673716666666,1,Home improvement,Success
Application_1004943461,2016-01-16 10:59:48.745,2016-01-25 12:51:06.420,13071.294583333334,1,Unknown,Success
Application_1004972579,2016-09-14 18:16:44.147,2016-09-26 14:27:55.914,17051.196116666666,1,Car,Success
Application_1005003910,2016-06-06 14:49:11.493,2016-06-10 15:52:27.897,5823.2734,1,"Other, see explanation",Success
Application_1005037911,2016-09-02 21:58:09.187,2016-10-04 08:00:19.135,45242.165799999995,0,Home improvement,Fail
Application_1005228320,2016-11-10 15:03:33.988,2016-12-16 11:22:04.918,51618.5155,1,Home improvement,Success
Application_1005342157,2016-07-21 14:43:19.158,2016-08-05 14:38:42.803,21595.394083333333,1,Existing loan takeover,Success
Application_1005395271,2016-04-24 15:36:44.557,2016-05-25 22:37:16.836,45060.537983333335,0,Home improvement,Fail
Application_1005465952,2016-07-27 14:02:15.612,2016-08-05 09:27:49.135,12685.558716666668,1,Home improvement,Success
Application_1005568510,2016-11-26 00:48:00.228,2017-01-05 16:56:27.502,58568.45456666667,0,Existing loan takeover,Fail
Application_1005586643,2016-05-26 17:31:01.455,2016-06-02 17:33:35.206,10082.562516666667,1,Unknown,Success
Application_1005604553,2016-03-17 14:05:56.700,2016-03-30 15:30:02.676,18804.0996,1,Car,Success
Application_1005677212,2016-10-08 21:44:48.597,2016-10-27 12:40:40.007,26815.85683333333,1,Existing loan takeover,Success
Application_1005734659,2016-08-01 19:32:29.718,2016-08-23 10:44:57.088,31152.456166666667,1,Extra spending limit,Success
Application_1005851562,2016-04-18 04:17:25.149,2016-04-29 16:16:31.427,16559.104633333332,1,Existing loan takeover,Success
Application_1005878170,2016-02-17 12:28:22.534,2016-03-07 13:59:14.580,27450.867433333337,1,Existing loan takeover,Success
Application_100589233,2016-03-25 11:51:03.856,2016-04-11 10:13:10.516,24382.110999999997,0,Existing loan takeover,Fail
Application_1006019928,2016-08-26 14:30:26.299,2016-09-08 10:16:39.775,18466.2246,1,Existing loan takeover,Success
Application_1006058240,2016-06-03 13:34:39.763,2016-06-23 07:51:04.508,28456.41241666667,0,Car,Fail
Application_1006138809,2016-10-16 17:32:20.009,2016-11-02 09:11:16.952,23978.94905,1,Existing loan takeover,Success
Application_1006164631,2016-07-14 12:34:03.477,2016-08-10 10:09:46.118,38735.71068333333,0,Car,Fail
Application_1006214165,2016-01-27 16:52:17.280,2016-02-22 15:48:38.756,37376.35793333333,1,"Other, see explanation",Success
Application_1006347888,2016-04-27 21:15:52.777,2016-05-29 08:00:21.081,45284.47173333333,0,Car,Fail
Application_1006372947,2016-06-13 10:46:51.177,2016-06-28 12:08:00.833,21681.160933333333,1,Home improvement,Success
Application_1006457880,2016-09-21 14:13:49.024,2016-10-05 10:59:36.924,19965.798333333332,1,Existing loan takeover,Success
Application_1006458332,2016-09-15 22:31:56.379,2016-10-13 13:28:23.991,39776.4602,1,Home improvement,Success
Application_1006489560,2016-02-11 13:46:12.773,2016-02-23 14:08:00.332,17301.79265,1,Home improvement,Success
Application_1006959642,2016-05-23 18:29:24.105,2016-05-30 14:28:36.811,9839.211766666667,1,Car,Success
Application_1006996577,2016-09-16 21:20:20.005,2016-10-18 08:00:17.065,45279.951,0,Car,Fail
Application_1007147744,2016-08-08 19:50:56.706,2016-09-10 08:00:20.277,46809.39285,0,Car,Fail
Application_1007255451,2016-12-01 12:13:02.425,2017-01-02 08:00:19.402,45827.28295,0,Car,Fail
Application_1007290684,2016-11-01 10:27:12.169,2016-12-23 09:25:12.422,74818.00421666665,1,Not speficied,Success
Application_1007340039,2016-10-18 19:15:15.964,2016-10-28 11:32:26.666,13937.178366666667,1,Existing loan takeover,Success
Application_1007423229,2016-01-29 17:20:33.910,2016-02-11 12:33:17.605,18432.72825,0,Car,Fail
Application_1007501706,2016-09-21 14:52:47.500,2016-10-23 08:00:21.737,45667.57061666667,0,Existing loan takeover,Fail
Application_1007507108,2016-08-02 13:03:28.337,2016-09-01 17:10:36.507,43447.13616666666,1,Home improvement,Success
Application_1007516030,2016-12-22 15:31:47.755,2017-01-05 09:53:43.030,19821.92125,1,Car,Success
Application_1007530778,2016-04-15 13:21:13.646,2016-05-17 13:24:00.739,46082.784883333334,1,Home improvement,Success
Application_1007601292,2016-11-12 18:36:57.416,2016-12-19 15:14:23.415,53077.43331666666,0,Home improvement,Fail
Application_1007607428,2016-05-11 17:06:12.849,2016-06-12 08:00:36.967,45534.401966666665,0,"Other, see explanation",Fail
Application_1007766945,2016-06-20 09:18:45.576,2016-07-12 17:37:48.638,32179.051033333333,1,Home improvement,Success
Application_1007846031,2016-10-06 13:30:57.883,2016-10-24 14:19:18.873,25968.349833333334,0,Existing loan takeover,Fail
Application_1007929195,2016-02-19 11:39:26.246,2016-03-03 14:28:41.698,18889.257533333333,1,Unknown,Success
Application_1008012118,2016-11-19 15:10:52.783,2016-12-22 08:00:08.610,47089.263783333336,0,Existing loan takeover,Fail
Application_1008205514,2016-01-26 13:10:26.576,2016-02-05 10:15:25.066,14224.974833333334,1,Existing loan takeover,Success
Application_100833857,2016-08-08 13:54:47.693,2016-08-23 10:49:18.728,21414.517249999997,1,Home improvement,Success
Application_1008474739,2016-03-08 19:10:17.273,2016-04-02 10:45:52.416,35495.58571666667,0,Car,Fail
Application_1008477029,2016-02-03 19:10:49.146,2016-02-22 08:15:19.103,26704.49928333333,1,Existing loan takeover,Success
Application_1008513010,2016-04-01 09:50:38.796,2016-04-13 14:27:17.649,17556.647549999998,1,Home improvement,Success
Application_100853745,2016-12-21 10:54:41.682,2017-01-11 09:47:32.597,30172.848583333332,0,Car,Fail
Application_1008548242,2016-09-12 10:40:13.408,2016-10-13 07:25:58.655,44445.75411666666,1,Home improvement,Success
Application_1008663678,2016-10-17 20:26:23.140,2016-11-22 07:22:26.952,51056.063533333334,0,Home improvement,Fail
Application_1008776960,2016-01-27 19:21:45.698,2016-02-11 08:21:11.797,20939.434983333333,1,Car,Success
Application_1008803681,2016-09-24 23:00:02.556,2016-10-14 17:39:15.928,28479.222866666667,0,Car,Fail
Application_1008820487,2016-05-31 15:49:44.794,2016-07-08 09:01:46.020,54312.02043333333,0,Car,Fail
Application_1008848932,2016-12-27 19:57:10.320,2017-01-03 14:07:56.931,9730.77685,0,Car,Fail
Application_100886157,2016-11-11 16:56:35.546,2016-12-05 15:00:23.756,34443.8035,1,"Other, see explanation",Success
Application_1008885658,2016-04-25 21:14:30.781,2016-05-06 10:03:05.645,15168.581066666666,1,Remaining debt home,Success
Application_1008893228,2016-07-27 15:05:42.167,2016-08-04 09:14:41.145,11168.982966666666,1,Home improvement,Success
Application_1008926043,2016-07-22 09:48:15.478,2016-08-03 16:10:31.783,17662.27175,0,Unknown,Fail
Application_100896625,2016-09-20 13:42:23.709,2016-09-28 19:35:06.208,11872.708316666665,0,Not speficied,Fail
Application_1008980114,2016-06-15 19:22:21.547,2016-07-22 08:43:34.134,52641.20978333333,1,Existing loan takeover,Success
Application_1009117608,2016-03-07 22:27:06.315,2016-03-15 12:58:06.550,10951.003916666667,1,Car,Success
Application_1009170679,2016-11-22 14:23:49.533,2016-12-22 08:34:34.430,42850.748283333334,1,Home improvement,Success
Application_1009201632,2016-07-18 18:15:02.147,2016-08-20 08:00:34.073,46905.5321,0,Car,Fail
Application_1009220910,2016-03-11 10:50:30.697,2016-03-23 12:04:43.356,17354.210983333334,1,Home improvement,Success
Application_100930614,2016-12-03 20:45:13.288,2017-01-05 08:00:09.612,46754.938733333336,0,Extra spending limit,Fail
Application_1009327734,2016-04-19 23:55:52.703,2016-05-30 11:32:26.362,58296.56098333334,1,Car,Success
Application_1009342776,2016-05-10 17:27:37.662,2016-05-23 10:18:40.188,18291.042100000002,1,Unknown,Success
Application_1009359277,2016-03-01 17:48:10.323,2016-03-07 20:06:31.628,8778.355083333334,0,Car,Fail
Application_100942591,2016-08-29 13:57:31.519,2016-09-13 12:06:35.187,21489.061133333333,1,Car,Success
Application_1009442649,2016-01-23 17:03:31.309,2016-02-18 10:08:38.315,37025.116766666666,1,Existing loan takeover,Success
Application_1009443818,2016-04-23 13:41:57.455,2016-07-20 11:16:49.607,126574.8692,0,Caravan / Camper,Fail
Application_1009466765,2016-05-15 11:34:09.398,2016-06-16 08:00:26.884,45866.29143333333,0,Car,Fail
Application_1009604939,2016-11-18 12:35:38.331,2016-12-14 12:26:46.866,37431.142250000004,0,Motorcycle,Fail
Application_1009728487,2016-09-02 19:46:04.418,2016-09-23 15:43:59.673,29997.920916666666,0,Boat,Fail
Application_1009741271,2016-12-11 19:28:21.405,2017-01-12 08:00:32.318,45392.18188333334,0,Home improvement,Fail
Application_1009792822,2016-09-28 20:33:59.086,2016-10-09 20:52:10.216,15858.1855,1,Car,Success
Application_1009850069,2016-10-11 12:37:37.779,2016-10-24 12:01:24.105,18683.7721,1,Existing loan takeover,Success
Application_1009860656,2016-10-08 11:09:50.958,2016-10-17 09:35:31.169,12865.670183333334,1,Unknown,Success
Application_1009921342,2016-09-25 11:06:46.493,2016-10-29 08:00:47.005,48774.00853333333,0,Home improvement,Fail
Application_1009927186,2016-06-17 10:20:50.341,2016-07-06 17:21:31.531,27780.6865,1,Car,Success
Application_1009956698,2016-06-05 08:55:35.255,2016-06-24 14:30:51.288,27695.267216666667,1,Existing loan takeover,Success
Application_1010016709,2016-05-11 19:28:05.088,2016-05-23 10:19:56.251,16731.852716666664,1,Car,Success
Application_1010084086,2016-02-10 20:12:10.145,2016-02-11 15:11:19.500,1139.1559166666666,0,Existing loan takeover,Fail
Application_101013624,2016-07-23 17:33:08.813,2016-08-16 09:55:33.775,34102.416033333335,1,"Other, see explanation",Success
Application_1010146666,2016-05-12 09:39:46.540,2016-05-12 14:12:35.518,272.8163,0,Unknown,Fail
Application_101015826,2016-02-16 20:41:19.074,2016-03-02 17:10:34.662,21389.2598,1,Home improvement,Success
Application_1010273024,2016-07-27 16:07:29.195,2016-08-18 10:05:46.985,31318.2965,1,Home improvement,Success
Application_1010284825,2016-09-26 15:19:52.280,2016-10-05 09:02:38.669,12582.773149999999,1,Car,Success
Application_1010390571,2016-12-08 17:33:55.872,2016-12-16 16:05:34.168,11431.638266666667,0,Car,Fail
Application_1010573951,2016-01-21 10:27:55.373,2016-01-27 11:47:25.290,8719.498616666668,1,Unknown,Success
Application_1010578897,2016-10-18 14:56:28.173,2016-10-31 13:41:08.159,18644.666433333336,1,Existing loan takeover,Success
Application_1010579931,2016-12-20 09:49:50.228,2016-12-28 10:49:07.869,11579.294016666665,1,"Other, see explanation",Success
Application_1010651948,2016-09-27 20:13:34.402,2016-10-24 08:39:18.461,38185.73431666666,1,Car,Success
Application_1010657155,2016-11-16 18:40:49.463,2016-12-01 09:53:58.613,21073.1525,1,Existing loan takeover,Success
Application_101073762,2016-10-03 15:51:56.175,2016-10-25 15:14:24.669,31642.474899999997,1,Existing loan takeover,Success
Application_1010778247,2016-06-13 13:25:55.449,2016-07-08 10:40:08.389,35834.21566666666,1,"Other, see explanation",Success
Application_1010825982,2016-11-07 10:49:39.878,2016-11-24 11:39:01.289,24529.35685,1,"Other, see explanation",Success
Application_101092690,2016-07-08 13:55:01.918,2016-07-25 11:19:58.915,24324.94995,1,Existing loan takeover,Success
Application_1011007304,2016-08-25 15:11:34.848,2016-09-20 14:42:41.449,37411.110016666666,1,Unknown,Success
Application_1011122543,2016-05-22 16:09:06.632,2016-06-16 11:33:14.221,35724.12648333333,0,Caravan / Camper,Fail
Application_1011124726,2016-01-18 13:23:20.225,2016-01-22 14:28:32.632,5825.206783333333,1,Unknown,Success
Application_1011166304,2016-10-12 15:59:23.124,2016-10-19 15:02:44.011,10023.348116666666,1,Home improvement,Success
Application_1011256754,2016-07-12 09:37:20.804,2016-08-12 08:00:30.646,44543.164033333334,0,Car,Fail
Application_1011449253,2016-12-22 10:21:34.141,2016-12-29 12:09:16.387,10187.7041,1,"Other, see explanation",Success
Application_1011514458,2016-02-18 10:00:38.019,2016-03-20 08:00:47.503,44520.15806666667,0,Existing loan takeover,Fail
Application_1011657063,2016-03-17 22:49:26.225,2016-03-31 09:28:11.424,19358.753316666665,0,Existing loan takeover,Fail
Application_1011711759,2016-09-21 12:37:14.203,2016-10-24 08:22:44.462,47265.504316666666,1,Remaining debt home,Success
Application_1011743105,2016-11-18 10:47:41.010,2016-11-30 18:06:33.338,17718.872133333334,0,Home improvement,Fail
Application_1011752493,2016-08-25 19:31:15.282,2016-09-12 11:16:49.816,25425.575566666666,1,"Other, see explanation",Success
Application_1011891800,2016-08-16 11:31:28.856,2016-08-31 15:54:24.554,21862.928300000003,1,"Other, see explanation",Success
Application_1011933027,2016-08-01 14:36:46.784,2016-09-02 08:00:28.224,45683.69066666667,0,Not speficied,Fail
Application_1012033620,2016-07-29 08:59:29.260,2016-08-03 18:54:23.636,7794.906266666667,0,Existing loan takeover,Fail
Application_1012036369,2016-06-10 18:47:50.636,2016-07-04 16:42:39.387,34434.812516666665,1,"Other, see explanation",Success
Application_1012242407,2016-09-08 20:31:01.600,2016-10-10 08:00:32.520,45329.51533333333,0,Car,Fail
Application_1012362506,2016-06-08 22:20:07.663,2016-06-29 16:49:53.511,29909.764133333334,1,Home improvement,Success
Application_1012472852,2016-06-09 10:28:18.335,2016-07-16 08:00:51.354,53132.55031666667,0,Car,Fail
Application_1012566167,2016-05-13 09:26:15.612,2016-06-22 09:45:42.032,57619.44033333333,1,Car,Success
Application_1012600292,2016-10-18 00:05:20.295,2016-11-23 17:16:15.197,52870.91503333333,1,Existing loan takeover,Success
Application_1012691702,2016-09-22 12:29:46.142,2016-10-18 11:34:24.334,37384.63653333333,0,Existing loan takeover,Fail
Application_1012695759,2016-09-26 16:20:27.678,2016-09-26 16:28:49.179,8.35835,0,Car,Fail
Application_1012709826,2016-01-23 10:28:49.908,2016-02-12 13:01:05.028,28952.252,1,Existing loan takeover,Success
Application_1012714056,2016-01-15 18:18:37.060,2016-02-02 11:10:30.467,25491.890116666666,1,Car,Success
Application_1012727008,2016-01-16 15:42:35.471,2016-01-26 14:45:12.935,14342.6244,1,Car,Success
Application_101281963,2016-10-11 09:57:11.031,2016-10-20 11:31:46.410,13054.58965,1,Home improvement,Success
Application_101285063,2016-10-10 16:23:58.484,2016-11-12 08:00:26.263,47016.46298333334,0,Car,Fail
Application_1012862839,2016-10-18 16:28:59.126,2016-10-26 15:51:33.187,11482.567683333333,0,"Other, see explanation",Fail
Application_1012880100,2016-06-11 16:37:23.997,2016-06-22 08:14:48.907,15337.415166666668,1,Car,Success
Application_1013192848,2016-10-10 19:48:41.829,2016-11-07 09:12:33.324,39683.858250000005,1,Existing loan takeover,Success
Application_1013194708,2016-12-01 14:09:14.865,2016-12-16 16:15:21.677,21726.113533333333,1,Existing loan takeover,Success
Application_1013244911,2016-08-09 11:58:47.976,2016-09-15 11:44:59.960,53266.199733333335,1,Home improvement,Success
Application_1013496029,2016-12-21 22:44:32.745,2017-01-22 08:00:11.173,45195.640466666664,0,Existing loan takeover,Fail
Application_1013542133,2016-06-08 13:39:39.518,2016-07-04 12:15:14.620,37355.58503333333,1,Home improvement,Success
Application_1013582921,2016-03-01 14:13:34.672,2016-03-14 13:32:47.432,18679.212666666666,0,"Other, see explanation",Fail
Application_1013759462,2016-11-19 15:48:52.432,2016-11-30 13:56:08.041,15727.26015,1,Car,Success
Application_1013989329,2016-02-28 17:16:19.758,2016-03-31 08:00:54.102,45524.5724,0,Car,Fail
Application_1013997167,2016-08-21 14:21:25.601,2016-09-24 08:25:25.466,48603.99775,0,Car,Fail
Application_1014199128,2016-03-07 09:59:41.363,2016-04-08 12:26:22.620,46226.68761666667,1,Car,Success
Application_10142236,2016-09-22 07:29:26.042,2016-10-23 08:00:15.462,44670.82366666666,0,Existing loan takeover,Fail
Application_1014252876,2016-09-20 14:58:46.079,2016-10-30 08:00:17.572,57181.52488333333,0,Home improvement,Fail
Application_1014284368,2016-02-21 11:15:30.349,2016-03-26 08:13:22.716,48777.87278333333,0,Car,Fail
Application_1014301064,2016-01-06 14:56:37.110,2016-01-21 09:27:51.643,21271.24221666667,0,Unknown,Fail
Application_1014473740,2016-03-05 10:12:14.075,2016-04-05 09:42:52.582,44610.64178333334,0,Home improvement,Fail
Application_1014628070,2016-12-07 20:20:39.634,2017-01-09 08:00:22.956,46779.72203333334,0,"Other, see explanation",Fail
Application_1014738976,2016-03-17 21:43:40.562,2016-03-30 09:40:09.865,17996.488383333333,0,Car,Fail
Application_1014760259,2016-01-14 11:04:05.932,2016-02-01 08:57:04.755,25792.980383333335,0,Existing loan takeover,Fail
Application_1014798002,2016-09-20 12:10:29.880,2016-10-05 08:20:17.154,21369.7879,0,Home improvement,Fail
Application_1014808270,2016-06-14 11:51:19.125,2016-07-01 16:28:13.239,24756.9019,1,Car,Success
Application_1014824736,2016-01-13 10:40:15.604,2016-01-15 14:29:04.424,3108.813666666667,1,Extra spending limit,Success
Application_1014917757,2016-05-03 10:44:47.931,2016-06-03 08:00:41.797,44475.89776666667,0,"Other, see explanation",Fail
Application_1014987100,2016-10-13 15:19:18.604,2016-10-24 13:20:03.715,15720.75185,1,Car,Success
Application_1015071619,2016-07-11 16:26:35.137,2016-07-29 13:16:35.728,25730.00985,1,Home improvement,Success
Application_1015084008,2016-09-20 19:52:13.111,2016-09-29 13:32:57.866,12580.745916666667,1,"Other, see explanation",Success
Application_1015183847,2016-05-10 10:11:54.871,2016-05-13 12:26:44.750,4454.831316666667,1,Not speficied,Success
Application_1015245209,2016-01-13 09:12:12.736,2016-01-25 14:33:33.143,17601.340116666666,1,Existing loan takeover,Success
Application_1015296509,2016-06-14 02:42:06.492,2016-07-26 12:50:56.750,61088.83763333333,1,Home improvement,Success
Application_1015311658,2016-03-20 21:40:56.444,2016-04-13 15:20:01.472,34179.0838,1,Car,Success
Application_1015323110,2016-04-18 20:49:10.100,2016-05-11 11:40:32.423,32571.37205,0,Home improvement,Fail
Application_1015357327,2016-01-08 22:13:25.354,2016-01-22 11:05:43.464,19492.301833333335,1,Car,Success
Application_1015358885,2016-03-21 11:36:15.631,2016-04-04 08:12:55.438,19956.66345,1,Unknown,Success
Application_101540725,2016-12-19 23:14:24.834,2017-01-19 11:28:55.833,43934.51665,1,Car,Success
Application_1015413412,2016-11-28 13:07:06.285,2016-12-29 08:00:33.984,44333.46165,0,Not speficied,Fail
Application_1015478096,2016-01-11 10:24:23.356,2016-02-12 08:00:25.623,45936.03778333333,0,Car,Fail
Application_101548356,2016-05-30 11:19:15.205,2016-07-06 17:27:10.267,53647.9177,0,Remaining debt home,Fail
Application_1015522224,2016-12-21 21:56:23.303,2016-12-22 10:22:10.001,745.7783,0,Car,Fail
