case,case_duration_minutes,loan_success,duration_bin,duration_order,LoanOutcome
Application_1004573204,44037.48431666666,0,25.2 – 31.9 days,3,Fail
Application_1004581995,46976.280183333336,0,31.9 – 286.1 days,4,Fail
Application_1004601801,13897.317333333334,1,0.0 – 10.1 days,0,Success
Application_1004618053,39050.04696666667,1,25.2 – 31.9 days,3,Success
Application_1004667877,43565.20253333333,1,25.2 – 31.9 days,3,Success
Application_1004702768,10958.953066666669,1,0.0 – 10.1 days,0,Success
Application_1004718670,31969.187916666662,1,15.1 – 25.2 days,2,Success
Application_1004752022,45570.33801666667,0,25.2 – 31.9 days,3,Fail
Application_1004788187,50039.0921,0,31.9 – 286.1 days,4,Fail
Application_1004817800,44580.45091666667,0,25.2 – 31.9 days,3,Fail
Application_1004853526,8506.673716666666,1,0.0 – 10.1 days,0,Success
Application_1004943461,13071.294583333334,1,0.0 – 10.1 days,0,Success
Application_1004972579,17051.196116666666,1,10.1 – 15.1 days,1,Success
Application_1005003910,5823.2734,1,0.0 – 10.1 days,0,Success
Application_1005037911,45242.1658,0,25.2 – 31.9 days,3,Fail
Application_1005228320,51618.5155,1,31.9 – 286.1 days,4,Success
Application_1005342157,21595.394083333333,1,10.1 – 15.1 days,1,Success
Application_1005395271,45060.537983333335,0,25.2 – 31.9 days,3,Fail
Application_1005465952,12685.558716666668,1,0.0 – 10.1 days,0,Success
Application_1005568510,58568.45456666667,0,31.9 – 286.1 days,4,Fail
Application_1005586643,10082.562516666669,1,0.0 – 10.1 days,0,Success
Application_1005604553,18804.0996,1,10.1 – 15.1 days,1,Success
Application_1005677212,26815.85683333333,1,15.1 – 25.2 days,2,Success
Application_1005734659,31152.456166666667,1,15.1 – 25.2 days,2,Success
Application_1005851562,16559.104633333332,1,10.1 – 15.1 days,1,Success
Application_1005878170,27450.867433333337,1,15.1 – 25.2 days,2,Success
Application_100589233,24382.111,0,15.1 – 25.2 days,2,Fail
Application_1006019928,18466.2246,1,10.1 – 15.1 days,1,Success
Application_1006058240,28456.41241666667,0,15.1 – 25.2 days,2,Fail
Application_1006138809,23978.94905,1,15.1 – 25.2 days,2,Success
Application_1006164631,38735.71068333333,0,25.2 – 31.9 days,3,Fail
Application_1006214165,37376.35793333333,1,25.2 – 31.9 days,3,Success
Application_1006347888,45284.47173333333,0,25.2 – 31.9 days,3,Fail
Application_1006372947,21681.160933333333,1,10.1 – 15.1 days,1,Success
Application_1006457880,19965.79833333333,1,10.1 – 15.1 days,1,Success
Application_1006458332,39776.4602,1,25.2 – 31.9 days,3,Success
Application_1006489560,17301.79265,1,10.1 – 15.1 days,1,Success
Application_1006959642,9839.211766666667,1,0.0 – 10.1 days,0,Success
Application_1006996577,45279.951,0,25.2 – 31.9 days,3,Fail
Application_1007147744,46809.39285,0,31.9 – 286.1 days,4,Fail
Application_1007255451,45827.28295,0,25.2 – 31.9 days,3,Fail
Application_1007290684,74818.00421666665,1,31.9 – 286.1 days,4,Success
Application_1007340039,13937.178366666669,1,0.0 – 10.1 days,0,Success
Application_1007423229,18432.72825,0,10.1 – 15.1 days,1,Fail
Application_1007501706,45667.57061666667,0,25.2 – 31.9 days,3,Fail
Application_1007507108,43447.13616666666,1,25.2 – 31.9 days,3,Success
Application_1007516030,19821.92125,1,10.1 – 15.1 days,1,Success
Application_1007530778,46082.78488333333,1,31.9 – 286.1 days,4,Success
Application_1007601292,53077.43331666666,0,31.9 – 286.1 days,4,Fail
Application_1007607428,45534.401966666665,0,25.2 – 31.9 days,3,Fail
Application_1007766945,32179.051033333333,1,15.1 – 25.2 days,2,Success
Application_1007846031,25968.349833333334,0,15.1 – 25.2 days,2,Fail
Application_1007929195,18889.257533333333,1,10.1 – 15.1 days,1,Success
Application_1008012118,47089.263783333336,0,31.9 – 286.1 days,4,Fail
Application_1008205514,14224.974833333334,1,0.0 – 10.1 days,0,Success
Application_100833857,21414.51725,1,10.1 – 15.1 days,1,Success
Application_1008474739,35495.58571666667,0,15.1 – 25.2 days,2,Fail
Application_1008477029,26704.49928333333,1,15.1 – 25.2 days,2,Success
Application_1008513010,17556.647549999998,1,10.1 – 15.1 days,1,Success
Application_100853745,30172.84858333333,0,15.1 – 25.2 days,2,Fail
Application_1008548242,44445.75411666666,1,25.2 – 31.9 days,3,Success
Application_1008663678,51056.06353333333,0,31.9 – 286.1 days,4,Fail
Application_1008776960,20939.434983333333,1,10.1 – 15.1 days,1,Success
Application_1008803681,28479.222866666667,0,15.1 – 25.2 days,2,Fail
Application_1008820487,54312.02043333333,0,31.9 – 286.1 days,4,Fail
Application_1008848932,9730.77685,0,0.0 – 10.1 days,0,Fail
Application_100886157,34443.8035,1,15.1 – 25.2 days,2,Success
Application_1008885658,15168.581066666666,1,10.1 – 15.1 days,1,Success
Application_1008893228,11168.982966666666,1,0.0 – 10.1 days,0,Success
Application_1008926043,17662.27175,0,10.1 – 15.1 days,1,Fail
Application_100896625,11872.708316666663,0,0.0 – 10.1 days,0,Fail
Application_1008980114,52641.20978333333,1,31.9 – 286.1 days,4,Success
Application_1009117608,10951.003916666668,1,0.0 – 10.1 days,0,Success
Application_1009170679,42850.74828333333,1,25.2 – 31.9 days,3,Success
Application_1009201632,46905.5321,0,31.9 – 286.1 days,4,Fail
Application_1009220910,17354.210983333334,1,10.1 – 15.1 days,1,Success
Application_100930614,46754.938733333336,0,31.9 – 286.1 days,4,Fail
Application_1009327734,58296.56098333334,1,31.9 – 286.1 days,4,Success
Application_1009342776,18291.0421,1,10.1 – 15.1 days,1,Success
Application_1009359277,8778.355083333334,0,0.0 – 10.1 days,0,Fail
Application_100942591,21489.061133333333,1,10.1 – 15.1 days,1,Success
Application_1009442649,37025.116766666666,1,25.2 – 31.9 days,3,Success
Application_1009443818,126574.8692,0,31.9 – 286.1 days,4,Fail
Application_1009466765,45866.29143333333,0,25.2 – 31.9 days,3,Fail
Application_1009604939,37431.14225,0,25.2 – 31.9 days,3,Fail
Application_1009728487,29997.920916666662,0,15.1 – 25.2 days,2,Fail
Application_1009741271,45392.18188333334,0,25.2 – 31.9 days,3,Fail
Application_1009792822,15858.1855,1,10.1 – 15.1 days,1,Success
Application_1009850069,18683.7721,1,10.1 – 15.1 days,1,Success
Application_1009860656,12865.670183333334,1,0.0 – 10.1 days,0,Success
Application_1009921342,48774.00853333333,0,31.9 – 286.1 days,4,Fail
Application_1009927186,27780.6865,1,15.1 – 25.2 days,2,Success
Application_1009956698,27695.267216666667,1,15.1 – 25.2 days,2,Success
Application_1010016709,16731.852716666664,1,10.1 – 15.1 days,1,Success
Application_1010084086,1139.1559166666666,0,0.0 – 10.1 days,0,Fail
Application_101013624,34102.416033333335,1,15.1 – 25.2 days,2,Success
Application_1010146666,272.8163,0,0.0 – 10.1 days,0,Fail
Application_101015826,21389.2598,1,10.1 – 15.1 days,1,Success
Application_1010273024,31318.2965,1,15.1 – 25.2 days,2,Success
Application_1010284825,12582.77315,1,0.0 – 10.1 days,0,Success
Application_1010390571,11431.638266666669,0,0.0 – 10.1 days,0,Fail
Application_1010573951,8719.498616666668,1,0.0 – 10.1 days,0,Success
Application_1010578897,18644.666433333336,1,10.1 – 15.1 days,1,Success
Application_1010579931,11579.294016666665,1,0.0 – 10.1 days,0,Success
Application_1010651948,38185.73431666666,1,25.2 – 31.9 days,3,Success
Application_1010657155,21073.1525,1,10.1 – 15.1 days,1,Success
Application_101073762,31642.4749,1,15.1 – 25.2 days,2,Success
Application_1010778247,35834.21566666666,1,15.1 – 25.2 days,2,Success
Application_1010825982,24529.35685,1,15.1 – 25.2 days,2,Success
Application_101092690,24324.94995,1,15.1 – 25.2 days,2,Success
Application_1011007304,37411.110016666666,1,25.2 – 31.9 days,3,Success
Application_1011122543,35724.12648333333,0,15.1 – 25.2 days,2,Fail
Application_1011124726,5825.206783333333,1,0.0 – 10.1 days,0,Success
Application_1011166304,10023.348116666666,1,0.0 – 10.1 days,0,Success
Application_1011256754,44543.16403333333,0,25.2 – 31.9 days,3,Fail
Application_1011449253,10187.7041,1,0.0 – 10.1 days,0,Success
Application_1011514458,44520.15806666667,0,25.2 – 31.9 days,3,Fail
Application_1011657063,19358.753316666665,0,10.1 – 15.1 days,1,Fail
Application_1011711759,47265.504316666666,1,31.9 – 286.1 days,4,Success
Application_1011743105,17718.872133333334,0,10.1 – 15.1 days,1,Fail
Application_1011752493,25425.575566666663,1,15.1 – 25.2 days,2,Success
Application_1011891800,21862.928300000003,1,15.1 – 25.2 days,2,Success
Application_1011933027,45683.69066666667,0,25.2 – 31.9 days,3,Fail
Application_1012033620,7794.906266666667,0,0.0 – 10.1 days,0,Fail
Application_1012036369,34434.812516666665,1,15.1 – 25.2 days,2,Success
Application_1012242407,45329.51533333333,0,25.2 – 31.9 days,3,Fail
Application_1012362506,29909.76413333333,1,15.1 – 25.2 days,2,Success
Application_1012472852,53132.55031666667,0,31.9 – 286.1 days,4,Fail
Application_1012566167,57619.44033333333,1,31.9 – 286.1 days,4,Success
Application_1012600292,52870.91503333333,1,31.9 – 286.1 days,4,Success
Application_1012691702,37384.63653333333,0,25.2 – 31.9 days,3,Fail
Application_1012695759,8.35835,0,0.0 – 10.1 days,0,Fail
Application_1012709826,28952.252,1,15.1 – 25.2 days,2,Success
Application_1012714056,25491.890116666666,1,15.1 – 25.2 days,2,Success
Application_1012727008,14342.6244,1,0.0 – 10.1 days,0,Success
Application_101281963,13054.58965,1,0.0 – 10.1 days,0,Success
Application_101285063,47016.46298333334,0,31.9 – 286.1 days,4,Fail
Application_1012862839,11482.567683333333,0,0.0 – 10.1 days,0,Fail
Application_1012880100,15337.415166666668,1,10.1 – 15.1 days,1,Success
Application_1013192848,39683.858250000005,1,25.2 – 31.9 days,3,Success
Application_1013194708,21726.113533333333,1,10.1 – 15.1 days,1,Success
Application_1013244911,53266.199733333335,1,31.9 – 286.1 days,4,Success
Application_1013496029,45195.64046666666,0,25.2 – 31.9 days,3,Fail
Application_1013542133,37355.58503333333,1,25.2 – 31.9 days,3,Success
Application_1013582921,18679.212666666663,0,10.1 – 15.1 days,1,Fail
Application_1013759462,15727.26015,1,10.1 – 15.1 days,1,Success
Application_1013989329,45524.5724,0,25.2 – 31.9 days,3,Fail
Application_1013997167,48603.99775,0,31.9 – 286.1 days,4,Fail
Application_1014199128,46226.68761666667,1,31.9 – 286.1 days,4,Success
Application_10142236,44670.82366666666,0,25.2 – 31.9 days,3,Fail
Application_1014252876,57181.52488333333,0,31.9 – 286.1 days,4,Fail
Application_1014284368,48777.87278333333,0,31.9 – 286.1 days,4,Fail
Application_1014301064,21271.24221666667,0,10.1 – 15.1 days,1,Fail
Application_1014473740,44610.64178333334,0,25.2 – 31.9 days,3,Fail
Application_1014628070,46779.72203333334,0,31.9 – 286.1 days,4,Fail
Application_1014738976,17996.488383333333,0,10.1 – 15.1 days,1,Fail
Application_1014760259,25792.98038333333,0,15.1 – 25.2 days,2,Fail
Application_1014798002,21369.7879,0,10.1 – 15.1 days,1,Fail
Application_1014808270,24756.9019,1,15.1 – 25.2 days,2,Success
Application_1014824736,3108.813666666667,1,0.0 – 10.1 days,0,Success
Application_1014917757,44475.89776666667,0,25.2 – 31.9 days,3,Fail
Application_1014987100,15720.75185,1,10.1 – 15.1 days,1,Success
Application_1015071619,25730.00985,1,15.1 – 25.2 days,2,Success
Application_1015084008,12580.745916666669,1,0.0 – 10.1 days,0,Success
Application_1015183847,4454.831316666667,1,0.0 – 10.1 days,0,Success
Application_1015245209,17601.340116666666,1,10.1 – 15.1 days,1,Success
Application_1015296509,61088.83763333333,1,31.9 – 286.1 days,4,Success
Application_1015311658,34179.0838,1,15.1 – 25.2 days,2,Success
Application_1015323110,32571.37205,0,15.1 – 25.2 days,2,Fail
Application_1015357327,19492.30183333333,1,10.1 – 15.1 days,1,Success
Application_1015358885,19956.66345,1,10.1 – 15.1 days,1,Success
Application_101540725,43934.51665,1,25.2 – 31.9 days,3,Success
Application_1015413412,44333.46165,0,25.2 – 31.9 days,3,Fail
Application_1015478096,45936.03778333333,0,25.2 – 31.9 days,3,Fail
Application_101548356,53647.9177,0,31.9 – 286.1 days,4,Fail
Application_1015522224,745.7783,0,0.0 – 10.1 days,0,Fail
Application_1015528427,18714.766816666663,1,10.1 – 15.1 days,1,Success
Application_1015546073,26594.0805,1,15.1 – 25.2 days,2,Success
Application_1015602490,90659.34383333332,1,31.9 – 286.1 days,4,Success
Application_1015666669,45472.52755,0,25.2 – 31.9 days,3,Fail
Application_1015673643,13086.95255,1,0.0 – 10.1 days,0,Success
Application_1015777884,11634.7308,0,0.0 – 10.1 days,0,Fail
Application_1015829712,45313.07121666667,0,25.2 – 31.9 days,3,Fail
Application_1015843971,45315.07263333334,0,25.2 – 31.9 days,3,Fail
Application_1015944019,27208.477616666663,1,15.1 – 25.2 days,2,Success
Application_101604435,40427.3178,1,25.2 – 31.9 days,3,Success
Application_1016139280,46282.79658333333,0,31.9 – 286.1 days,4,Fail
Application_1016282069,51940.30938333333,1,31.9 – 286.1 days,4,Success
Application_1016339725,16867.159066666667,0,10.1 – 15.1 days,1,Fail
Application_101639139,19640.804633333333,1,10.1 – 15.1 days,1,Success
Application_1016451751,83095.47911666667,1,31.9 – 286.1 days,4,Success
Application_1016463575,27611.2098,1,15.1 – 25.2 days,2,Success
Application_1016541821,25964.1021,0,15.1 – 25.2 days,2,Fail
Application_1016632627,20323.99735,1,10.1 – 15.1 days,1,Success
Application_1016735,15856.80045,0,10.1 – 15.1 days,1,Fail
Application_1016778548,14313.784566666667,1,0.0 – 10.1 days,0,Success
Application_1016792765,44481.96148333333,0,25.2 – 31.9 days,3,Fail
Application_1016809148,45276.345133333336,0,25.2 – 31.9 days,3,Fail
Application_1016816804,25658.14988333333,1,15.1 – 25.2 days,2,Success
Application_1016977130,46309.02703333333,1,31.9 – 286.1 days,4,Success
Application_1017028247,52.92551666666667,1,0.0 – 10.1 days,0,Success
Application_1017053119,13351.33075,1,0.0 – 10.1 days,0,Success
Application_1017054863,10043.085516666668,1,0.0 – 10.1 days,0,Success
Application_1017064738,19572.745700000003,1,10.1 – 15.1 days,1,Success
Application_1017105040,6858.3658,0,0.0 – 10.1 days,0,Fail
Application_1017122987,45403.33791666666,0,25.2 – 31.9 days,3,Fail
Application_1017220956,34367.12496666666,1,15.1 – 25.2 days,2,Success
Application_101731242,23999.36043333333,1,15.1 – 25.2 days,2,Success
Application_1017437265,44281.36716666666,0,25.2 – 31.9 days,3,Fail
Application_1017445442,46427.44153333334,0,31.9 – 286.1 days,4,Fail
Application_1017492916,45341.730083333336,0,25.2 – 31.9 days,3,Fail
Application_1017548876,13987.0811,1,0.0 – 10.1 days,0,Success
Application_1017578132,7202.100716666667,1,0.0 – 10.1 days,0,Success
Application_1017620318,31387.1255,1,15.1 – 25.2 days,2,Success
Application_1017623303,25165.286416666662,1,15.1 – 25.2 days,2,Success
Application_1017644369,23190.11855,0,15.1 – 25.2 days,2,Fail
Application_1017661250,66959.97103333334,1,31.9 – 286.1 days,4,Success
Application_1017685010,35321.998633333336,1,15.1 – 25.2 days,2,Success
Application_1017777344,19611.8794,1,10.1 – 15.1 days,1,Success
Application_1017828639,10132.9102,1,0.0 – 10.1 days,0,Success
Application_1017917646,44516.40298333333,0,25.2 – 31.9 days,3,Fail
Application_1017927606,47026.78593333333,0,31.9 – 286.1 days,4,Fail
Application_1018089402,19755.89515,0,10.1 – 15.1 days,1,Fail
Application_1018249155,11380.1051,0,0.0 – 10.1 days,0,Fail
Application_1018266027,18879.598433333333,0,10.1 – 15.1 days,1,Fail
Application_1018276550,44161.163133333335,0,25.2 – 31.9 days,3,Fail
Application_1018407971,25754.83285,1,15.1 – 25.2 days,2,Success
Application_1018538193,8725.527466666666,1,0.0 – 10.1 days,0,Success
Application_1018583202,44115.16035,0,25.2 – 31.9 days,3,Fail
Application_1018615109,29398.04753333333,1,15.1 – 25.2 days,2,Success
Application_1018658664,18790.97838333333,0,10.1 – 15.1 days,1,Fail
Application_1018770495,11516.842516666666,1,0.0 – 10.1 days,0,Success
Application_101881919,11181.584566666666,1,0.0 – 10.1 days,0,Success
Application_1019051515,32831.16985,1,15.1 – 25.2 days,2,Success
Application_1019084704,56164.82695,0,31.9 – 286.1 days,4,Fail
Application_1019266700,27335.729516666663,1,15.1 – 25.2 days,2,Success
Application_1019277788,44120.8965,0,25.2 – 31.9 days,3,Fail
Application_1019299562,24490.22666666667,1,15.1 – 25.2 days,2,Success
Application_1019357279,46751.40088333333,0,31.9 – 286.1 days,4,Fail
Application_1019452946,18738.680916666668,0,10.1 – 15.1 days,1,Fail
Application_1019469082,45596.918,0,25.2 – 31.9 days,3,Fail
Application_1019603677,13857.9631,1,0.0 – 10.1 days,0,Success
Application_1019687793,15887.090950000002,0,10.1 – 15.1 days,1,Fail
Application_1019714896,25660.4671,0,15.1 – 25.2 days,2,Fail
Application_101973919,90320.10055,1,31.9 – 286.1 days,4,Success
Application_1019756607,32663.641066666667,1,15.1 – 25.2 days,2,Success
Application_1019781911,20337.3711,1,10.1 – 15.1 days,1,Success
Application_1019849833,14169.26665,0,0.0 – 10.1 days,0,Fail
Application_1020019812,45311.78611666666,0,25.2 – 31.9 days,3,Fail
Application_1020036346,52901.8884,0,31.9 – 286.1 days,4,Fail
Application_1020070367,45860.08089999999,0,25.2 – 31.9 days,3,Fail
Application_102018713,6898.7461,0,0.0 – 10.1 days,0,Fail
Application_1020232709,18642.29295,1,10.1 – 15.1 days,1,Success
Application_1020381296,40552.00995,1,25.2 – 31.9 days,3,Success
Application_1020410553,33006.303733333334,0,15.1 – 25.2 days,2,Fail
Application_102041449,8005.708616666667,0,0.0 – 10.1 days,0,Fail
Application_1020606169,26480.71245,1,15.1 – 25.2 days,2,Success
Application_1020696982,19372.251116666663,1,10.1 – 15.1 days,1,Success
Application_1020735316,25781.622816666662,0,15.1 – 25.2 days,2,Fail
Application_1020750988,15456.209233333331,1,10.1 – 15.1 days,1,Success
Application_1020792873,40280.69058333334,1,25.2 – 31.9 days,3,Success
Application_1020808066,18608.493983333334,1,10.1 – 15.1 days,1,Success
Application_1020819842,25907.69968333333,1,15.1 – 25.2 days,2,Success
Application_1020826018,45154.74313333333,0,25.2 – 31.9 days,3,Fail
Application_1020830584,62334.31953333333,0,31.9 – 286.1 days,4,Fail
Application_1020832049,19876.63191666667,1,10.1 – 15.1 days,1,Success
Application_1020990376,10728.157466666666,1,0.0 – 10.1 days,0,Success
Application_1021332815,1787.5759,0,0.0 – 10.1 days,0,Fail
Application_1021352275,45383.811466666666,0,25.2 – 31.9 days,3,Fail
Application_1021365915,12589.295666666669,1,0.0 – 10.1 days,0,Success
Application_1021431020,45333.22311666667,0,25.2 – 31.9 days,3,Fail
Application_1021582856,21774.196600000003,0,15.1 – 25.2 days,2,Fail
Application_1021585422,49748.13743333333,1,31.9 – 286.1 days,4,Success
Application_1021612767,55589.37601666667,0,31.9 – 286.1 days,4,Fail
Application_102167608,20018.843466666665,1,10.1 – 15.1 days,1,Success
Application_1021748617,20053.68273333333,0,10.1 – 15.1 days,1,Fail
Application_1021758905,12923.925866666666,1,0.0 – 10.1 days,0,Success
Application_1021913039,13955.54785,0,0.0 – 10.1 days,0,Fail
Application_102200568,20145.32023333333,1,10.1 – 15.1 days,1,Success
Application_1022053539,26912.42423333333,1,15.1 – 25.2 days,2,Success
Application_1022069965,32816.70815,0,15.1 – 25.2 days,2,Fail
Application_1022084723,19794.8592,0,10.1 – 15.1 days,1,Fail
Application_102217911,44023.0153,0,25.2 – 31.9 days,3,Fail
Application_1022411160,26938.334066666663,1,15.1 – 25.2 days,2,Success
Application_1022414754,30291.962016666665,1,15.1 – 25.2 days,2,Success
Application_102241622,64233.1667,1,31.9 – 286.1 days,4,Success
Application_1022503261,47161.25641666666,0,31.9 – 286.1 days,4,Fail
Application_1022532415,18721.850433333333,1,10.1 – 15.1 days,1,Success
Application_1022584147,44229.717716666666,0,25.2 – 31.9 days,3,Fail
Application_1022593746,15606.96065,1,10.1 – 15.1 days,1,Success
Application_1022619955,19023.42598333333,1,10.1 – 15.1 days,1,Success
Application_10226694,45511.23091666667,1,25.2 – 31.9 days,3,Success
Application_1022701559,19134.358816666667,1,10.1 – 15.1 days,1,Success
Application_1022726417,25640.050066666667,1,15.1 – 25.2 days,2,Success
Application_102284220,15656.356366666669,1,10.1 – 15.1 days,1,Success
Application_1023037940,32813.74425,0,15.1 – 25.2 days,2,Fail
Application_1023172078,2703.2005833333333,1,0.0 – 10.1 days,0,Success
Application_102322853,24085.86245,1,15.1 – 25.2 days,2,Success
Application_1023366085,16765.897083333333,0,10.1 – 15.1 days,1,Fail
Application_102338755,20125.429116666663,1,10.1 – 15.1 days,1,Success
Application_1023398657,47248.502916666665,0,31.9 – 286.1 days,4,Fail
Application_1023419627,50349.18848333333,0,31.9 – 286.1 days,4,Fail
Application_1023449033,44662.1265,1,25.2 – 31.9 days,3,Success
Application_102360332,15175.444866666669,1,10.1 – 15.1 days,1,Success
Application_1023606733,46509.15865,0,31.9 – 286.1 days,4,Fail
Application_1023646798,58284.39193333333,1,31.9 – 286.1 days,4,Success
Application_1023773636,46650.23043333333,0,31.9 – 286.1 days,4,Fail
Application_1023901719,44516.96776666667,0,25.2 – 31.9 days,3,Fail
Application_1023996114,15588.345366666666,1,10.1 – 15.1 days,1,Success
Application_1024024843,24058.487233333333,0,15.1 – 25.2 days,2,Fail
Application_102404144,28125.38713333333,1,15.1 – 25.2 days,2,Success
Application_1024089863,44444.74015,0,25.2 – 31.9 days,3,Fail
Application_1024151463,21379.60163333333,1,10.1 – 15.1 days,1,Success
Application_1024176807,23051.78168333333,1,15.1 – 25.2 days,2,Success
Application_1024184223,74394.77586666666,0,31.9 – 286.1 days,4,Fail
Application_102424049,99136.22228333334,0,31.9 – 286.1 days,4,Fail
Application_1024263335,44196.39993333333,0,25.2 – 31.9 days,3,Fail
Application_1024275715,29902.26555,1,15.1 – 25.2 days,2,Success
Application_1024372028,44073.71191666667,0,25.2 – 31.9 days,3,Fail
Application_1024726306,48021.02588333333,0,31.9 – 286.1 days,4,Fail
Application_1024736114,8520.386133333333,1,0.0 – 10.1 days,0,Success
Application_1024769381,46191.07433333333,0,31.9 – 286.1 days,4,Fail
Application_1024771048,10407.544066666664,0,0.0 – 10.1 days,0,Fail
Application_1024774116,46956.30255,0,31.9 – 286.1 days,4,Fail
Application_1024776595,18994.760216666666,0,10.1 – 15.1 days,1,Fail
Application_1024812544,22720.18045,1,15.1 – 25.2 days,2,Success
Application_1024938160,21113.034633333333,1,10.1 – 15.1 days,1,Success
Application_1025001096,9939.32595,1,0.0 – 10.1 days,0,Success
Application_1025043783,44561.420216666666,0,25.2 – 31.9 days,3,Fail
Application_1025122380,11632.877733333333,1,0.0 – 10.1 days,0,Success
Application_1025200557,44219.33,0,25.2 – 31.9 days,3,Fail
Application_1025208399,37.24953333333334,0,0.0 – 10.1 days,0,Fail
